Country Name,Country Code,Series Name,Series Code,2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014]
Armenia,ARM,GDP per capita (current US$),NY.GDP.PCAP.CD,1625.407769,2126.618661,3080.970959,3919.975474,2915.583906,3124.784018,3417.171836,3565.517575,3716.828923,3873.533566
Armenia,ARM,Mobile cellular subscriptions (per 100 people),IT.CEL.SETS.P2,10.54901346,41.95135986,62.7586975,48.43008603,73.83377008,130.4322327,108.336201,111.9146632,112.4206552,115.9232102
Armenia,ARM,Internet users (per 100 people),IT.NET.USER.P2,5.252983352,5.631787777,6.021253397,6.21,15.3,25,32,37.5,41.9,46.3
Armenia,ARM,Employment in agriculture (% of total employment),SL.AGR.EMPL.ZS,46.20000076,46.20000076,46,37.59999847,39.5,38.59999847,38.90000153,37.29999924,36.29999924,..
Aruba,ABW,GDP per capita (current US$),NY.GDP.PCAP.CD,23302.83199,24015.42061,25921.53823,27549.88942,24640.42124,24289.14152,25353.78754,..,..,..
Aruba,ABW,Mobile cellular subscriptions (per 100 people),IT.CEL.SETS.P2,103.3849507,108.1325002,112.2180618,119.2038996,126.2103374,129.72824,..,131.8565401,134.873823,135.0658893
Aruba,ABW,Internet users (per 100 people),IT.NET.USER.P2,25.4,28,30.9,52,58,62,69,74,78.9,83.78
Aruba,ABW,Employment in agriculture (% of total employment),SL.AGR.EMPL.ZS,..,..,0.699999988,..,..,0.600000024,0.600000024,..,..,..
Australia,AUS,GDP per capita (current US$),NY.GDP.PCAP.CD,33982.95043,36084.85898,40957.83044,49628.11513,42715.13226,51845.65486,62216.54713,67646.10385,67627.77333,61925.49606
Australia,AUS,Mobile cellular subscriptions (per 100 people),IT.CEL.SETS.P2,89.76286231,94.70140374,100.0646043,102.1940537,100.7390114,100.4263074,104.610551,105.585695,106.8434974,131.2305468
Australia,AUS,Internet users (per 100 people),IT.NET.USER.P2,63,66,69.45,71.67,74.25,76,79.48769771,79,83,84.56
Australia,AUS,Employment in agriculture (% of total employment),SL.AGR.EMPL.ZS,3.599999905,3.400000095,3.299999952,3.200000048,3.200000048,3.200000048,2.900000095,2.900000095,2.599999905,..
Austria,AUT,GDP per capita (current US$),NY.GDP.PCAP.CD,38242.04252,40430.99361,46586.65025,51386.37665,47654.18721,46659.84082,51123.56133,48324.25404,50557.80381,51190.80825
Austria,AUT,Mobile cellular subscriptions (per 100 people),IT.CEL.SETS.P2,105.1755856,112.124675,119.2569828,129.6551516,136.57901,145.6928199,154.426039,160.5397387,156.2304116,151.9112515
Austria,AUT,Internet users (per 100 people),IT.NET.USER.P2,58,63.6,69.37,72.87,73.45,75.17,78.7399931,80.02999392,80.6188,81
Austria,AUT,Employment in agriculture (% of total employment),SL.AGR.EMPL.ZS,4.900000095,4.800000191,4.900000095,4.599999905,4.599999905,4.699999809,4.400000095,4.199999809,4,4.300000191
Azerbaijan,AZE,GDP per capita (current US$),NY.GDP.PCAP.CD,1578.36733,2473.085776,3851.437869,5574.603802,4950.294791,5842.805784,7189.691229,7393.771877,7811.621418,7884.190236
Azerbaijan,AZE,Mobile cellular subscriptions (per 100 people),IT.CEL.SETS.P2,26.18119583,38.35542641,51.52721935,73.75810024,86.32194952,100.0593201,109.9720704,108.7683381,107.6134072,110.9053634
Azerbaijan,AZE,Internet users (per 100 people),IT.NET.USER.P2,8.030375356,11.99217733,14.54,17.08,27.4,46,50,54.2,58.7,61
Azerbaijan,AZE,Employment in agriculture (% of total employment),SL.AGR.EMPL.ZS,39.29999924,39.09999847,38.70000076,38.40000153,38.09999847,38.20000076,37.90000153,37.70000076,37.09999847,36.79999924
"Bahamas, The",BHS,GDP per capita (current US$),NY.GDP.PCAP.CD,23405.87955,23721.15628,24306.14242,23657.36531,22043.01257,21920.51659,21514.89865,22112.60835,22315.60365,22217.49414
"Bahamas, The",BHS,Mobile cellular subscriptions (per 100 people),IT.CEL.SETS.P2,69.21279415,75.37855087,109.340767,102.7875065,101.2186453,118.8292307,81.5628489,80.65383375,76.05187427,71.43772006
"Bahamas, The",BHS,Internet users (per 100 people),IT.NET.USER.P2,25,26,27,31.54,33.88,43,65,71.74820281,72,76.92
"Bahamas, The",BHS,Employment in agriculture (% of total employment),SL.AGR.EMPL.ZS,3.5,2.5,2.299999952,2.900000095,2.900000095,..,3.700000048,..,..,..
Bahrain,BHR,GDP per capita (current US$),NY.GDP.PCAP.CD,18418.07267,19669.31955,21167.61871,23043.02532,19166.70824,20386.01756,22238.71195,23063.13229,24378.94483,24855.21564
Bahrain,BHR,Mobile cellular subscriptions (per 100 people),IT.CEL.SETS.P2,87.21698081,95.42373897,108.1005238,129.0979339,117.6607732,125.2084477,131.009991,161.1670576,165.9088811,173.2739335
Bahrain,BHR,Internet users (per 100 people),IT.NET.USER.P2,21.30373351,28.24395243,32.91,51.95,53,55,76.9999665,88,90.0000397,90.99998
Bahrain,BHR,Employment in agriculture (% of total employment),SL.AGR.EMPL.ZS,..,..,..,..,..,1.100000024,..,..,..,..
Bangladesh,BGD,GDP per capita (current US$),NY.GDP.PCAP.CD,485.8528881,495.8537802,543.0822631,618.0758836,683.6144223,760.3319352,838.5478017,858.9333626,954.3963997,1086.807079
Bangladesh,BGD,Mobile cellular subscriptions (per 100 people),IT.CEL.SETS.P2,6.28776238,13.20573922,23.46762823,30.16828408,34.35334451,44.94535882,55.19256723,62.82023906,74.42964608,75.92489163
Bangladesh,BGD,Internet users (per 100 people),IT.NET.USER.P2,0.241637326,1,1.8,2.5,3.1,3.7,4.5,5,6.63,9.6
Bangladesh,BGD,Employment in agriculture (% of total employment),SL.AGR.EMPL.ZS,48.09999847,..,..,..,..,47.5,..,..,..,..
Barbados,BRB,GDP per capita (current US$),NY.GDP.PCAP.CD,14223.7777,15646.81501,16461.82927,16569.60496,16526.25455,15901.43294,15530.89429,15317.139,15153.82138,15366.29261
Barbados,BRB,Mobile cellular subscriptions (per 100 people),IT.CEL.SETS.P2,75.37065739,86.2492407,93.23830793,103.972136,120.8077962,124.8452189,123.4606322,123.3298378,108.1027529,106.7781561
Barbados,BRB,Internet users (per 100 people),IT.NET.USER.P2,52.5,55.3,58.2,61.4,64.7,65.1,67,70,73,76.67
Barbados,BRB,Employment in agriculture (% of total employment),SL.AGR.EMPL.ZS,..,..,..,..,..,2.799999952,3.299999952,2.799999952,2.700000048,..
Belarus,BLR,GDP per capita (current US$),NY.GDP.PCAP.CD,3126.367778,3848.586203,4735.956889,6376.173115,5176.044701,5818.854859,6305.773662,6721.834908,7722.123351,8040.047557
Belarus,BLR,Mobile cellular subscriptions (per 100 people),IT.CEL.SETS.P2,42.41718896,61.95195003,72.61067076,85.05828031,101.6840082,108.8697059,113.1688625,113.5179254,118.786176,122.5011386
Belarus,BLR,Internet users (per 100 people),IT.NET.USER.P2,..,16.2,19.7,23,27.43,31.8,39.64889566,46.91,54.17,59.02
Belarus,BLR,Employment in agriculture (% of total employment),SL.AGR.EMPL.ZS,..,..,..,..,10.5,10.5,10.39999962,10.10000038,9.600000381,..
Belgium,BEL,GDP per capita (current US$),NY.GDP.PCAP.CD,36967.28292,38852.36103,44403.83131,48424.58927,44880.56015,44282.54932,47699.80705,44731.21948,46625.31752,47352.94291
Belgium,BEL,Mobile cellular subscriptions (per 100 people),IT.CEL.SETS.P2,91.40294897,93.00741585,100.5624899,105.283158,108.4032585,111.0841886,113.5309512,111.3315482,110.9031799,114.2699575
Belgium,BEL,Internet users (per 100 people),IT.NET.USER.P2,55.82,59.72,64.44,66,70,75,81.609996,80.71999055,82.1702,85
Belgium,BEL,Employment in agriculture (% of total employment),SL.AGR.EMPL.ZS,2,1.899999976,1.799999952,1.5,1.399999976,1.299999952,1.200000048,1.100000024,1.299999952,1.100000024
Belize,BLZ,GDP per capita (current US$),NY.GDP.PCAP.CD,3933.234373,4187.23289,4324.831017,4470.220796,4258.842876,4344.136669,4517.123997,4674.293377,4719.137955,4831.177552
Belize,BLZ,Mobile cellular subscriptions (per 100 people),IT.CEL.SETS.P2,35.30450132,42.2961808,41.34020042,54.51721037,53.74564807,62.93070205,70.31965347,53.20712214,52.61072612,50.712566
Belize,BLZ,Internet users (per 100 people),IT.NET.USER.P2,17,24,24.6,26.3,27.2,28.2,30.7,31,33.6,38.7
Belize,BLZ,Employment in agriculture (% of total employment),SL.AGR.EMPL.ZS,19.5,..,..,..,..,..,..,..,..,..
Benin,BEN,GDP per capita (current US$),NY.GDP.PCAP.CD,587.0802124,609.0186087,685.5516751,794.8701761,768.0134764,732.9536227,799.0355591,807.688451,882.6386333,903.464924
Benin,BEN,Mobile cellular subscriptions (per 100 people),IT.CEL.SETS.P2,7.28722342,12.50317546,23.56334604,40.40173435,54.46885832,74.39604921,79.40049868,83.65431589,93.25782193,101.7110697
Benin,BEN,Internet users (per 100 people),IT.NET.USER.P2,1.271031439,1.537854346,1.79,1.85,2.24,3.13,4.148323066,4.5,4.9,5.3
Benin,BEN,Employment in agriculture (% of total employment),SL.AGR.EMPL.ZS,..,..,..,..,..,45.09999847,..,..,..,..
Bermuda,BMU,GDP per capita (current US$),NY.GDP.PCAP.CD,75882.03386,83912.6978,90849.58698,93605.74817,88463.31282,88207.32756,85973.15842,85458.45551,85748.06541,..
Bermuda,BMU,Mobile cellular subscriptions (per 100 people),IT.CEL.SETS.P2,82.19904267,93.41436498,106.9568452,122.1643187,131.1485527,135.794676,..,139.5363101,144.3197992,90.88006599
Bermuda,BMU,Internet users (per 100 people),IT.NET.USER.P2,65.44706579,69.89965516,74.35059403,82.3,83.25,84.21,88.336,91.29930452,95.3,96.8
Bermuda,BMU,Employment in agriculture (% of total employment),SL.AGR.EMPL.ZS,..,..,..,..,1.100000024,1.399999976,1.700000048,1.700000048,1.600000024,..
Bhutan,BTN,GDP per capita (current US$),NY.GDP.PCAP.CD,1257.54864,1346.085775,1755.161709,1810.576177,1786.810672,2201.293078,2485.787052,2452.151588,2383.04473,2560.501154
Bhutan,BTN,Mobile cellular subscriptions (per 100 people),IT.CEL.SETS.P2,5.53491068,12.33202317,21.99686472,36.61427504,48.10756491,54.99993723,66.37918152,75.6097824,72.19831102,82.07006186
Bhutan,BTN,Internet users (per 100 people),IT.NET.USER.P2,3.847106745,4.518317258,5.92,6.55,7.17,13.6,21,24,29.9,34.37
Bhutan,BTN,Employment in agriculture (% of total employment),SL.AGR.EMPL.ZS,43.59999847,63.09999847,..,..,65.40000153,59.5,60.09999847,62.20000076,56.29999924,..
Bolivia,BOL,GDP per capita (current US$),NY.GDP.PCAP.CD,1046.427843,1233.592974,1389.63175,1736.924014,1776.85719,1981.160105,2377.70069,2645.290274,2948.032918,3124.080762
Bolivia,BOL,Mobile cellular subscriptions (per 100 people),IT.CEL.SETS.P2,25.88431131,30.21985533,33.63225131,51.23601575,64.68655431,70.68598048,80.90771949,90.44349501,97.69945273,96.33724828
Bolivia,BOL,Internet users (per 100 people),IT.NET.USER.P2,5.227583957,6.200671255,10.49924432,12.5,16.8,22.4,30,35.34,36.94,39.02
Bolivia,BOL,Employment in agriculture (% of total employment),SL.AGR.EMPL.ZS,38.59999847,39.5,36.09999847,34.29999924,32.09999847,..,..,..,..,..
Bosnia and Herzegovina,BIH,GDP per capita (current US$),NY.GDP.PCAP.CD,2844.431812,3269.548528,4020.672302,4873.206648,4498.722971,4392.495172,4779.659571,4415.923592,4666.219586,4790.049658
Bosnia and Herzegovina,BIH,Mobile cellular subscriptions (per 100 people),IT.CEL.SETS.P2,41.09375467,48.7159617,63.34032541,82.33282857,84.52795238,80.87078571,82.60007887,87.57471473,91.09530785,91.27895029
Bosnia and Herzegovina,BIH,Internet users (per 100 people),IT.NET.USER.P2,21.326701,25.12238569,27.92,34.66,37.74,42.75,47.77,52.78,57.79,60.8
Bosnia and Herzegovina,BIH,Employment in agriculture (% of total employment),SL.AGR.EMPL.ZS,..,..,..,..,..,..,..,..,..,..
Botswana,BWA,GDP per capita (current US$),NY.GDP.PCAP.CD,5327.853518,5342.140336,5666.637847,5561.89824,5115.119247,6244.002574,7504.850907,6935.593653,6882.258373,7123.339241
Botswana,BWA,Mobile cellular subscriptions (per 100 people),IT.CEL.SETS.P2,30.05546952,43.41214719,60.13830503,76.83593118,96.02329234,120.0102471,145.9838697,153.7856491,160.6410528,167.2975939
Botswana,BWA,Internet users (per 100 people),IT.NET.USER.P2,3.262554036,4.289932975,5.28,6.25,6.15,6,8,11.5,15,18.5
Botswana,BWA,Employment in agriculture (% of total employment),SL.AGR.EMPL.ZS,..,29.89999962,..,..,..,26.39999962,..,..,..,..
Brazil,BRA,GDP per capita (current US$),NY.GDP.PCAP.CD,4733.164181,5809.189096,7240.923983,8700.455202,8462.508346,11124.24578,13042.42193,11922.51306,11711.0044,11384.41501
Brazil,BRA,Mobile cellular subscriptions (per 100 people),IT.CEL.SETS.P2,46.31418452,53.11025849,63.67475185,78.5549801,87.54187651,100.8810115,119.0023853,125.0018521,135.3050481,138.9514906
Brazil,BRA,Internet users (per 100 people),IT.NET.USER.P2,21.02274725,28.17838018,30.88,33.83,39.22,40.65,45.69,48.56,51.04,57.6
Brazil,BRA,Employment in agriculture (% of total employment),SL.AGR.EMPL.ZS,20.5,19.29999924,18.29999924,17.39999962,17,..,15.69999981,14.60000038,14.5,..
Brunei Darussalam,BRN,GDP per capita (current US$),NY.GDP.PCAP.CD,26337.91811,31157.68845,32707.70431,37798.3935,27726.48105,31453.2244,41787.0214,41807.65334,39151.23423,40979.64194
Brunei Darussalam,BRN,Mobile cellular subscriptions (per 100 people),IT.CEL.SETS.P2,63.31987548,80.4383275,95.9883599,102.793692,104.6861055,108.6214859,109.015478,113.9487384,112.2144457,110.0570645
Brunei Darussalam,BRN,Internet users (per 100 people),IT.NET.USER.P2,36.46639195,42.18634916,44.68,46,49,53,56,60.27306504,64.5,68.77
Brunei Darussalam,BRN,Employment in agriculture (% of total employment),SL.AGR.EMPL.ZS,..,..,..,..,..,..,..,..,..,0.600000024
Bulgaria,BGR,GDP per capita (current US$),NY.GDP.PCAP.CD,3852.977756,4455.690224,5932.899677,7296.122479,6955.987733,6752.552178,7750.03988,7333.355073,7656.638506,7851.265428
Bulgaria,BGR,Mobile cellular subscriptions (per 100 people),IT.CEL.SETS.P2,81.27954474,108.2720221,130.8646368,138.9755558,140.4048536,138.0389827,142.8461575,148.1311121,145.1876887,137.7065953
Bulgaria,BGR,Internet users (per 100 people),IT.NET.USER.P2,19.97,27.09,33.64,39.67,45,46.23,47.97999305,51.89998767,53.0615,55.49
Bulgaria,BGR,Employment in agriculture (% of total employment),SL.AGR.EMPL.ZS,8.399999619,7.699999809,7.199999809,7,6.800000191,6.699999809,6.599999905,6.300000191,6.5,6.900000095
Burkina Faso,BFA,GDP per capita (current US$),NY.GDP.PCAP.CD,406.9988374,422.479938,474.7109451,569.0142638,551.8432409,574.4580893,665.8074467,673.0267834,708.8416819,713.0638897
Burkina Faso,BFA,Mobile cellular subscriptions (per 100 people),IT.CEL.SETS.P2,4.720290206,7.354840819,13.05253397,20.62907931,25.3304628,36.72938024,48.02719397,60.60765215,66.37728295,71.73746951
Burkina Faso,BFA,Internet users (per 100 people),IT.NET.USER.P2,0.469914489,0.632707564,0.75,0.92,1.13,2.4,3,3.725034916,9.1,9.4
Burkina Faso,BFA,Employment in agriculture (% of total employment),SL.AGR.EMPL.ZS,84.80000305,78.40000153,67.40000153,..,..,..,..,..,..,..
Burundi,BDI,GDP per capita (current US$),NY.GDP.PCAP.CD,140.8151356,154.9245257,159.2654713,182.6878013,190.3942037,214.2309908,240.6144835,244.1964862,259.3652082,286.0023359
Burundi,BDI,Mobile cellular subscriptions (per 100 people),IT.CEL.SETS.P2,1.969012632,2.486764507,3.241953471,5.572453585,10.31456575,18.1747416,20.06827414,22.81446021,24.96258806,30.46201036
Burundi,BDI,Internet users (per 100 people),IT.NET.USER.P2,0.542142866,0.65759259,0.7,0.81,0.9,1,1.11,1.219999945,1.3,1.38
Burundi,BDI,Employment in agriculture (% of total employment),SL.AGR.EMPL.ZS,..,..,..,..,..,..,..,..,..,..
Cabo Verde,CPV,GDP per capita (current US$),NY.GDP.PCAP.CD,2049.615693,2316.47949,3145.653828,3698.315397,3517.386791,3393.927492,3766.111654,3497.691141,3623.22243,3641.107656
Cabo Verde,CPV,Mobile cellular subscriptions (per 100 people),IT.CEL.SETS.P2,17.07319111,22.58745902,31.46741973,57.29277356,59.83377049,76.26543014,80.81218046,86.02531144,100.1124481,121.7897017
Cabo Verde,CPV,Internet users (per 100 people),IT.NET.USER.P2,6.074087107,6.808911008,8.28321982,14,21,30,32,34.74,37.5,40.26
Cabo Verde,CPV,Employment in agriculture (% of total employment),SL.AGR.EMPL.ZS,..,..,..,..,..,..,..,..,..,..
Cambodia,KHM,GDP per capita (current US$),NY.GDP.PCAP.CD,472.4488559,537.8485827,629.2828776,742.9429233,735.4075239,782.6927899,879.1512441,946.4766787,1024.60887,1094.576688
Cambodia,KHM,Mobile cellular subscriptions (per 100 people),IT.CEL.SETS.P2,7.95123006,12.70116666,18.79147363,30.39341867,44.31490591,56.74071111,94.18821019,128.5272115,133.8902393,155.1115083
Cambodia,KHM,Internet users (per 100 people),IT.NET.USER.P2,0.317321781,0.46835672,0.49,0.51,0.53,1.26,3.1,4.94,6.8,9
Cambodia,KHM,Employment in agriculture (% of total employment),SL.AGR.EMPL.ZS,..,..,..,72.19999695,..,54.09999847,..,..,..,..
Cameroon,CMR,GDP per capita (current US$),NY.GDP.PCAP.CD,915.0912877,965.3686883,1070.954675,1191.709554,1164.717254,1147.242347,1258.924651,1222.192142,1331.200021,1407.403413
Cameroon,CMR,Mobile cellular subscriptions (per 100 people),IT.CEL.SETS.P2,12.41890525,16.84911141,23.75158108,31.44110653,39.81367836,41.8760103,49.56740015,60.40682443,70.3904685,75.6851331
Cameroon,CMR,Internet users (per 100 people),IT.NET.USER.P2,1.402654226,2.028744791,2.93,3.4,3.84,4.3,5,5.69898724,6.4,11
Cameroon,CMR,Employment in agriculture (% of total employment),SL.AGR.EMPL.ZS,..,..,..,..,..,..,..,..,..,..
Canada,CAN,GDP per capita (current US$),NY.GDP.PCAP.CD,36028.23249,40243.55228,44328.47538,46400.44185,40764.14135,47463.63119,52086.53352,52733.47369,52305.25839,50235.38551
Canada,CAN,Mobile cellular subscriptions (per 100 people),IT.CEL.SETS.P2,52.75959279,57.49320536,61.47310755,66.20487722,70.54830532,75.676078,77.82549309,79.56833775,80.61008074,82.98444025
Canada,CAN,Internet users (per 100 people),IT.NET.USER.P2,71.66,72.4,73.2,76.7,80.3,80.3,83,83,85.8,87.12
Canada,CAN,Employment in agriculture (% of total employment),SL.AGR.EMPL.ZS,2.700000048,2.700000048,2.5,2.400000095,2.400000095,2.200000048,2.200000048,2.099999905,2.200000048,2.099999905
Caribbean small states,CSS,GDP per capita (current US$),NY.GDP.PCAP.CD,7021.166542,7841.598374,8667.567483,9822.358652,8208.604254,8699.510835,9373.26122,9586.922894,9932.460696,10164.32096
Caribbean small states,CSS,Mobile cellular subscriptions (per 100 people),IT.CEL.SETS.P2,65.16617643,82.94775753,94.7815549,103.9363771,111.0521354,114.477539,107.9535208,104.2195293,109.4288848,109.9251388
Caribbean small states,CSS,Internet users (per 100 people),IT.NET.USER.P2,19.48895869,22.34485257,24.4938787,27.72404741,31.92694997,35.81885775,42.68900817,43.26065188,46.29434437,49.27394895
Caribbean small states,CSS,Employment in agriculture (% of total employment),SL.AGR.EMPL.ZS,12.70654389,..,..,..,..,..,..,..,..,..
Cayman Islands,CYM,GDP per capita (current US$),NY.GDP.PCAP.CD,..,64104.7516,..,..,..,..,..,..,..,..
Cayman Islands,CYM,Mobile cellular subscriptions (per 100 people),IT.CEL.SETS.P2,166.4747136,185.0217887,197.1887628,185.8047324,200.2745279,181.174224,170.9810781,171.6762203,167.7693163,153.7483538
Cayman Islands,CYM,Internet users (per 100 people),IT.NET.USER.P2,38.03438308,44.5,52,61,64.5,66,69.46594499,74.12653069,74.1,74.1
Cayman Islands,CYM,Employment in agriculture (% of total employment),SL.AGR.EMPL.ZS,1.700000048,2.299999952,1.799999952,1.899999976,1.899999976,0.600000024,0.400000006,0.699999988,0.800000012,..
Central African Republic,CAF,GDP per capita (current US$),NY.GDP.PCAP.CD,332.9466401,353.8944517,404.1131819,463.8276186,454.3693169,446.8002046,484.5832181,469.6842871,326.4371085,358.5378359
Central African Republic,CAF,Mobile cellular subscriptions (per 100 people),IT.CEL.SETS.P2,2.524680647,2.728105589,8.278756443,13.61972672,20.24357708,22.51148929,22.37140338,25.26102109,29.46657548,31.3598713
Central African Republic,CAF,Internet users (per 100 people),IT.NET.USER.P2,0.268195609,0.311159173,0.375815961,1,1.8,2,2.2,3,3.5,4.03
Central African Republic,CAF,Employment in agriculture (% of total employment),SL.AGR.EMPL.ZS,..,..,..,..,..,..,..,..,..,..
Central Europe and the Baltics,CEB,GDP per capita (current US$),NY.GDP.PCAP.CD,8317.199456,9434.649968,11943.24133,14449.87983,12161.46166,12546.04764,13869.24769,12981.64707,13685.59344,14086.52181
Central Europe and the Baltics,CEB,Mobile cellular subscriptions (per 100 people),IT.CEL.SETS.P2,81.79641151,96.49349918,110.4606381,118.2050008,118.7188854,120.6792463,123.6345959,128.0303667,130.2566079,132.7192446
Central Europe and the Baltics,CEB,Internet users (per 100 people),IT.NET.USER.P2,34.64729322,40.65876375,45.11428149,50.4833147,54.87022447,58.35016696,58.85739213,61.50954877,63.28363087,66.92852334
